epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,4170.32,0.38004,0.33117,0.92602,0.94252,0.90126,0.97524,0.95772,0.23307,0.24737,0.77093,0.000610789,0.000610789,0.000610789
66,4236.64,0.37749,0.32345,0.92612,0.91583,0.90067,0.97274,0.96096,0.20959,0.27674,0.76376,0.000594286,0.000594286,0.000594286
67,4303.11,0.37868,0.3206,0.92538,0.90717,0.94563,0.96362,0.94227,0.24891,0.26515,0.77287,0.000577782,0.000577782,0.000577782
68,4369.34,0.3799,0.33069,0.93165,0.87766,0.94893,0.96589,0.94686,0.23746,0.28591,0.77148,0.000561279,0.000561279,0.000561279
69,4433.95,0.3757,0.32997,0.92645,0.90595,0.94094,0.95855,0.94187,0.24376,0.26231,0.77302,0.000544776,0.000544776,0.000544776
70,4499.8,0.37889,0.32976,0.92772,0.88511,0.94249,0.97528,0.96134,0.22019,0.26771,0.76337,0.000528272,0.000528272,0.000528272
71,4565.13,0.35932,0.31399,0.9208,0.89758,0.93207,0.97363,0.96183,0.21491,0.25818,0.76204,0.000511769,0.000511769,0.000511769
72,4628.17,0.37413,0.32267,0.92498,0.92896,0.91722,0.97512,0.95861,0.22222,0.24711,0.76313,0.000495266,0.000495266,0.000495266
73,4693.6,0.37591,0.32582,0.92425,0.9095,0.93744,0.96126,0.94424,0.22383,0.24231,0.76194,0.000478762,0.000478762,0.000478762
74,4756.67,0.36088,0.3122,0.92243,0.92694,0.90094,0.97526,0.95799,0.24284,0.27051,0.76829,0.000462259,0.000462259,0.000462259
75,4819.66,0.36198,0.32073,0.92074,0.89816,0.94449,0.97046,0.95459,0.2298,0.26295,0.76691,0.000445756,0.000445756,0.000445756
76,4883.74,0.36484,0.3192,0.92366,0.94651,0.90814,0.9569,0.94077,0.22316,0.25687,0.76425,0.000429253,0.000429253,0.000429253
77,4947.2,0.35844,0.31454,0.91793,0.92605,0.89893,0.97304,0.95379,0.23842,0.27465,0.77323,0.000412749,0.000412749,0.000412749
78,5009.01,0.35851,0.31057,0.91961,0.89189,0.94953,0.976,0.95978,0.23019,0.25323,0.77033,0.000396246,0.000396246,0.000396246
79,5070.55,0.34964,0.29664,0.91456,0.89945,0.95417,0.9673,0.95401,0.22433,0.2414,0.76742,0.000379743,0.000379743,0.000379743
80,5132.84,0.35857,0.3143,0.9217,0.90568,0.94181,0.95936,0.94467,0.21116,0.2542,0.76391,0.000363239,0.000363239,0.000363239
81,5193.67,0.35374,0.30855,0.91527,0.94636,0.896,0.9686,0.95364,0.22323,0.25336,0.76434,0.000346736,0.000346736,0.000346736
82,5255.98,0.35352,0.30108,0.91829,0.93249,0.9136,0.95321,0.93884,0.21198,0.25954,0.763,0.000330233,0.000330233,0.000330233
83,5319.79,0.35169,0.30427,0.91759,0.93694,0.90604,0.96961,0.95504,0.21796,0.25202,0.76307,0.000313729,0.000313729,0.000313729
84,5381.36,0.3547,0.29925,0.92037,0.94255,0.9162,0.97254,0.95802,0.21514,0.23943,0.76246,0.000297226,0.000297226,0.000297226
85,5444.27,0.34566,0.28917,0.91592,0.92703,0.92385,0.96713,0.95445,0.2102,0.25283,0.76186,0.000280723,0.000280723,0.000280723
86,5511.7,0.34878,0.29641,0.91601,0.93016,0.93319,0.97202,0.95918,0.21335,0.2417,0.76381,0.00026422,0.00026422,0.00026422
87,5574.98,0.34465,0.29181,0.91353,0.89916,0.93141,0.97432,0.96177,0.20791,0.25608,0.76211,0.000247716,0.000247716,0.000247716
88,5637.63,0.34634,0.29065,0.91578,0.93798,0.91277,0.96379,0.94934,0.22085,0.2524,0.76339,0.000231213,0.000231213,0.000231213
89,5703.5,0.34416,0.29713,0.91535,0.91313,0.93343,0.97267,0.95635,0.23634,0.25873,0.76799,0.00021471,0.00021471,0.00021471
90,5767.68,0.3391,0.28447,0.91145,0.92794,0.91442,0.96952,0.95641,0.21733,0.25238,0.76238,0.000198206,0.000198206,0.000198206
91,5824.34,0.23641,0.20562,0.83003,0.93233,0.91194,0.97196,0.95933,0.21194,0.25258,0.76029,0.000181703,0.000181703,0.000181703
